Conversation Streetblock,Resident Name, Date, Time,Destination,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name,Rating,Streetblock Name
,,,,Downtown Davenport,30st14-15,3,30st13-14,3,30st12-13,3,32st14-15,3,32st13-14,3,32st12-13,3,12ave31-32,3,12ave30-31,3,31st14-15,3,31st12-14,3,30st11.5-12,3,30st10-11.5,3,30st9-10,3,30st8.5-9,3,8.5ave29-30,3,29st8-8.5,3,29st7-8,3,7ave28-29,3,7ave27-28,3,7ave26-27,3,26st6-7,3,26st5.5-6,3,26st5-5.5,3,28st6-7,3,28st5.5-6,3,5.5ave27-28,3,5.5ave26-27,3,6ave27-28,3,27st6-7,3,27st5.5-6,3,25st4-5,3,25st3-4,3,3ave24-25,3,30st12-12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23st5-6,Anthony,6/18/15,3:00 PM,bus stop,23st5-6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Work,23st5-6,3,23st4-5,3,24st1-4,1,24st3-4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bank,4ave22-23,3,4ave21-22,3,21st3-4,3,3ave20-21,3,3ave19-20,3,3ave18-19,3,3ave17-18,3,3ave16-17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Schweibert Park,18st2-3,3,18st1-2,3,20st1-2,3,20st2-3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The District ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,City Hall,3ave15-16,3,,,,,,,,,3ave17-18,3,3ave16-17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Church,6ave22-23,3,6ave21-22,3,6ave20-21,3,6ave19-20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Save-A-Lot,6ave23-24,3,6ave24-25,3,6ave25-26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Augustana Football,5ave23-24,2,5ave24-25,2,5ave25-26,2,5ave26-27,2,5ave27-28,2,5ave28-30,2,5ave30-31,2,5ave31-38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
